Pointer,Original,Translated
0x4f800,"アーレー たすけてーーーーっ!!","Huuh?! Someone, help me!"
0x4f802,"うわあああっ!!","Uwaaah!"
0x4f804,"あれっ？ とまった<4C>アリガトウ・・・<4C>え？ あたまのなかに<49>このこえ まえにもきいた・・・","Huh? It stopped.<49>Thank you...<49>That voice..it sounds familiar."
0x4f806,"う うそっ うそだっ!!<49>うちゅうじんなんぞ しんじるものか<4C>オマエトイウ ヤツハ・・・!","No no way! You guys can't be..<49>aliens?"
0x4f808,"うっ うわーーーっ!!<49>ごめんなさいぃ たーすけてーぇ","Uwaah!! I'm sorry!<49>Someone, help!"
0x4f80a,"ほんとに うちゅうじんなの？<4C>メダル・・・ニンゲンニ<49>アタエタノ ワタシタチ<4C>ソレカラ ズット ミテイタ<49>コノ キレイナ ホシノコト・・・<4C>モウスコシ オソカッタラ<49>タスケラレナカッタ<4C>ヨカッタ<49>・・・キミニ アエテ<4C>まっ まってよ いかないでよ<49>まだ ききたいことが・・・<4C>わああっ!!","Are you guys...really aliens?<4C>We, Medals, that have been bestowed upon humanity<49>have protected this planet..<4C>Had I waited a moment later, I wouldn't have been able to save you.<4C>We're glad...<49>..to have met you.<4C>W-wait! Don't go!<4C>I still have things I need to ask y-<49>Waaah!"
0x4f80c,"おちこむな <&NAME><4C>メダルをなおすほうほうは<49>きっとあるはずだ<4C>そうだ! ユウキくんなら<49>なにか しっているんじゃないか!？","Don't be sad, <&NAME>. I'm sure there's a way to fix your medal.<49>..That's right! Yuuki might know something!"
0x4f80e,"げんきだせよ","Lighten up!"
0x4f810,"がいこくのひとは かえっちゃったよ","The foreigners went home..."
0x4f812,"",""
0x4f814,"",""
0x4f816,"",""
0x4f818,"",""
0x4f81a,"",""
0x4f81c,"",""
0x4f81e,"",""
