Pointer,Original
0x3be00,こんにちは <&BUF00>さん<4E>あの・・・<4C>こんど あそびに<4E>いっても いいですか?<*4>
0x3be02,こんどの おやすみのひに<4E>あそびに いきますね
0x3be04,わたし ずっと まってますから
0x3be06,フフフッ そんなこうげきでは<4E>このメダロットは とめられないロボ
0x3be08,たいせつに もっていれば<4E>きっと いいことがあリますよ
0x3be0a,おかねを とられた!
0x3be0c,これは ぼくのパソコンだ
0x3be0e,<&BUF00>の パパって<4E>セレクトビルの けんちくの<4C>おしごとしてるでしょ?<4C>いきなリ たずねていって<4E>おどろかすってのは どう?<4C>えっ?<4C>べつに セレクトビルに いけ!<4C>・・って いってるわけじゃないのよ
0x3be10,あれっ<4E>つぎは どこだっけ・・・<4C>あっ そうそう<4E>いせきよ いせき!<4C>パパも・・・<4C>いいわよ!<4E>あそこは ロマンがあって・・・<4C>ねっ♥<4E>いってらっしゃいよ♥<4C>まちがっても<4E>「イセキのいえ」じゃないからね!
0x3be12,なわばしごが なくなっている
